time,OS,RL
0.200973,4.45651,4.50013
0.401323,14.3273,21.5388
0.601659,19.9435,20.488
0.801985,19.1436,19.7035
1.00232,18.4664,18.6058
1.20262,17.8476,17.5535
1.40293,16.6148,17.9448
1.60325,15.0801,16.7014
1.80356,13.6719,15.1589
2.00383,12.3682,13.4239
2.20413,11.7114,12.0083
2.40444,11.6924,11.9091
2.60476,11.6152,11.7561
2.80507,11.471,11.5736
3.00537,11.3059,11.3605
3.20569,11.1387,11.1452
3.40603,11.1143,10.9509
3.60636,11.0975,10.7624
3.80676,11.0662,10.5853
4.0071,11.0281,10.4501
4.20743,11.0002,10.3415
4.40775,10.9955,10.2577
4.60806,11.0207,10.2121
4.80836,11.0874,10.1826
5.00868,11.1788,10.1916
5.209,11.2904,10.22
5.40931,11.4185,10.2774
5.60962,11.5567,10.3523
5.80994,11.6858,10.4694
6.01384,11.8297,10.6075
6.21807,11.9404,10.7658
6.41842,12.027,10.9328
6.61879,12.1326,11.1144
6.81912,12.2541,11.3171
7.01946,12.3717,11.5205
7.21979,12.4621,11.7299
7.4201,12.5451,11.958
7.62043,12.6201,12.1915
7.82079,12.6844,12.4293
8.02111,12.7419,12.6402
8.22143,12.7939,12.8585
8.42685,12.8523,13.0625
8.63864,12.8956,13.2573
8.83899,12.9264,13.444
9.0394,12.9576,13.6083
9.23976,12.9876,13.7446
9.44009,13.0112,13.8839
9.64043,13.0249,13.9992
9.84077,13.0258,14.083
10.0411,13.0147,14.1287
10.2414,13.0046,14.1459
10.4417,12.9993,14.1417
10.642,12.9934,14.0786
10.8424,12.9726,14.0084
11.0427,12.9604,13.9249
11.243,12.9581,13.8373
11.4434,12.9569,13.7331
11.6437,12.9971,13.6162
11.844,13.049,13.4812
12.0444,13.1119,13.3527
12.2448,13.173,13.2273
12.4451,13.2218,13.1096
12.6454,13.2566,12.9864
12.8458,13.2846,12.8777
13.0461,13.3033,12.7806
13.2464,13.3157,12.695
13.4467,13.3266,12.6265
13.647,13.3202,12.5694
13.8473,13.2913,12.5278
14.0477,13.2703,12.5009
14.248,13.254,12.486
14.4483,13.2385,12.4882
14.6486,13.2206,12.5028
14.8489,13.1934,12.5286
15.0492,13.1727,12.5659
15.2496,13.1475,12.6194
15.4498,13.1181,12.6877
15.6501,13.0882,12.7681
15.8505,13.0593,12.8563
16.0508,13.0361,12.9509
16.2511,13.0137,13.049
16.4514,12.9931,13.1455
16.6518,12.982,13.2398
16.8522,12.9974,13.3394
17.0525,13.0254,13.4396
17.2528,13.0599,13.5316
17.4531,13.102,13.6217
17.6534,13.1421,13.7022
17.8538,13.1824,13.7724
18.0541,13.2231,13.8239
18.2544,13.2609,13.8616
18.4547,13.2963,13.8877
18.655,13.3217,13.9043
18.8553,13.3378,13.8936
19.0556,13.3416,13.8758
19.2559,13.3401,13.8486
19.4563,13.3309,13.8138
19.6566,13.33,13.757
19.8569,13.3254,13.6996
20.0572,13.3233,13.6375
20.2575,13.32,13.5675
20.4578,13.3127,13.4949
20.6582,13.3092,13.4262
20.8585,13.3125,13.3627
21.0588,13.3184,13.2966
21.2591,13.3326,13.2323
21.4594,13.3511,13.181
21.6598,13.3623,13.1433
21.8602,13.3748,13.1109
22.0605,13.3888,13.0863
22.2608,13.3911,13.0626
22.4611,13.3853,13.0455
22.6615,13.3746,13.0341
22.8618,13.3717,13.0309
23.0621,13.3732,13.0233
23.2624,13.3809,13.0239
23.4627,13.3955,13.033
23.663,13.4097,13.045
23.8633,13.4251,13.061
24.0636,13.4354,13.0846
24.264,13.4452,13.108
24.4643,13.4608,13.1346
24.6646,13.4712,13.1656
24.8649,13.4807,13.2003
25.0652,13.4808,13.2426
25.2655,13.478,13.2872
25.4795,13.4664,13.3341
25.6798,13.4583,13.3726
25.8802,13.4509,13.4216
26.0806,13.4451,13.4686
26.2808,13.4489,13.5115
26.4811,13.454,13.5462
26.6815,13.4639,13.5775
26.8818,13.4748,13.6044
27.0821,13.4867,13.6249
27.2824,13.4856,13.6382
27.4827,13.483,13.6384
27.683,13.4834,13.6293
27.8834,13.4846,13.6147
28.0837,13.4799,13.5956
28.284,13.4734,13.5724
28.4843,13.4676,13.549
28.6846,13.4603,13.5208
28.8849,13.4552,13.4911
29.0852,13.4564,13.4629
29.2855,13.4595,13.4326
29.4858,13.4668,13.409
29.6862,13.4729,13.384
29.8865,13.481,13.3588
30.0868,13.4908,13.3348
30.2871,13.4938,13.3129
30.4874,13.4891,13.2912
30.6877,13.4877,13.2727
30.8881,13.4896,13.2607
31.0884,13.4906,13.241
31.2887,13.4923,13.2305
31.489,13.4858,13.2229
31.6893,13.4753,13.2168
31.8896,13.4625,13.2159
32.09,13.4433,13.2239
32.2903,13.4288,13.2381
32.4906,13.4152,13.2525
32.6909,13.4071,13.27
32.8912,13.4067,13.2929
33.0915,13.4082,13.317
33.2918,13.4149,13.3429
33.4921,13.4343,13.3703
33.6925,13.455,13.3981
33.8928,13.4741,13.4242
34.0931,13.494,13.4476
34.2934,13.5164,13.4743
34.4937,13.5226,13.498
34.694,13.5307,13.5237
34.8944,13.5253,13.5507
35.0947,13.5144,13.5761
35.2951,13.4997,13.596
35.4955,13.4898,13.6107
