time,OS,RL
0.200976,4.40995,4.33129
0.401375,10.7215,29.0458
0.601757,31.2819,29.9915
0.802116,29.2603,28.2086
1.00246,27.9074,25.9404
1.20279,25.6934,22.5635
1.40313,22.7193,21.363
1.60346,19.971,18.7973
1.8038,17.6095,15.0782
2.00414,16.0978,15.0428
2.20447,15.3036,14.7897
2.4048,15.2466,14.6217
2.60517,15.1466,14.6046
2.80554,15.0291,14.7533
3.00591,14.9506,14.8096
3.20627,14.9438,14.9801
3.40678,15.0081,15.2313
3.60722,15.1542,15.4795
3.80758,15.3705,15.7833
4.00814,15.6367,16.0561
4.20856,16.0218,16.3425
4.40894,16.4546,16.6342
4.60928,16.8937,16.9238
4.80961,17.3769,17.2284
5.01415,17.9221,17.5581
5.21448,18.4706,17.8624
5.41483,19.0034,18.2031
5.61516,19.5374,18.5497
5.8155,20.058,18.9229
6.03888,20.5367,19.2706
6.23923,20.9524,19.5888
6.43957,21.2648,19.8714
6.63992,21.4581,20.0937
6.8403,21.5365,20.299
7.04075,21.5075,20.4849
7.24114,21.3863,20.6281
7.44147,21.181,20.7711
7.64181,20.9381,20.8692
7.84214,20.6767,20.9051
8.04248,20.4185,20.8829
8.24281,20.1779,20.8257
8.44315,19.9701,20.7773
8.64347,19.8064,20.7491
8.84382,19.6933,20.7375
9.04416,19.6297,20.6565
9.24459,19.6195,20.5646
9.44495,19.6506,20.4619
9.64531,19.7387,20.3563
9.84565,19.8044,20.2803
10.046,19.8929,20.2049
10.2463,20.0371,20.1731
10.4467,20.2011,20.1588
10.647,20.4002,20.1431
10.8474,20.5979,20.1457
11.0477,20.7717,20.1654
11.2481,20.9284,20.2048
11.4484,21.0659,20.2317
11.6487,21.1921,20.2551
11.8491,21.278,20.2949
12.0494,21.3477,20.3564
12.2499,21.3842,20.4298
12.4503,21.3922,20.4935
12.6506,21.3561,20.534
12.851,21.2895,20.5637
13.0513,21.1945,20.5862
13.2516,21.0782,20.6148
13.452,20.9582,20.6547
13.6523,20.8313,20.6907
13.8526,20.7113,20.7136
14.053,20.6069,20.7201
14.2533,20.5216,20.712
14.4536,20.4646,20.702
14.654,20.4297,20.6948
14.8543,20.4143,20.6911
15.0547,20.4322,20.6879
15.255,20.4634,20.6896
15.4554,20.5043,20.696
15.6557,20.5711,20.696
15.8561,20.6453,20.7088
16.0565,20.7199,20.7284
16.2569,20.8189,20.7403
16.4572,20.916,20.7737
16.6576,21.0106,20.7972
16.8579,21.1129,20.8053
17.0583,21.207,20.7967
17.2586,21.2657,20.7789
17.4589,21.3207,20.7699
17.6593,21.3652,20.7633
17.8596,21.3809,20.7503
18.06,21.3721,20.7247
18.2603,21.3448,20.7093
18.4606,21.2892,20.6945
18.661,21.2059,20.6912
18.8613,21.1119,20.6677
19.0617,21.008,20.6493
19.262,20.9027,20.633
19.4623,20.8032,20.6135
