time,OS,RL
0.200841,4.06926,4.6234
0.40146,13.3462,21.5791
0.602005,17.8527,20.1388
0.80255,17.1487,18.908
1.0031,17.4995,18.1785
1.20359,17.0865,17.4534
1.40416,15.7727,17.0114
1.60469,14.7127,15.7385
1.80516,13.9125,14.3771
2.00569,13.3013,13.1047
2.20618,13.0681,11.8967
2.40658,12.8968,11.7954
2.607,12.6555,11.6347
2.80747,12.4858,11.4585
3.00798,12.3381,11.2538
3.20853,12.1925,11.0604
3.40897,12.0862,10.881
3.60946,11.9786,10.7149
3.80998,11.8719,10.5669
4.01051,11.7676,10.4462
4.21113,11.6957,10.3372
4.41163,11.661,10.2565
4.61213,11.6254,10.1962
4.81262,11.6211,10.1769
5.01312,11.6636,10.1723
5.21358,11.7288,10.1838
5.41401,11.8034,10.2111
5.61453,11.8088,10.2757
5.81501,11.8613,10.3496
6.01551,11.9586,10.4054
6.21604,12.0809,10.5147
6.41651,12.204,10.635
6.61709,12.3072,10.7796
6.81769,12.4243,10.9399
7.01817,12.5511,11.1306
7.21861,12.6833,11.3318
7.4191,12.8298,11.5202
7.61954,12.9426,11.7219
7.81999,13.038,11.9256
8.02046,13.0765,12.1317
8.2209,13.1134,12.3195
8.42134,13.1524,12.4987
8.6218,13.171,12.6707
8.82224,13.1622,12.8344
9.02267,13.1397,12.9924
9.22314,13.1224,13.1418
9.42362,13.1072,13.2905
9.63732,13.0964,13.4195
9.83788,13.091,13.5094
10.0383,13.0883,13.5968
10.2389,13.0716,13.669
10.4393,13.088,13.686
10.6398,13.1191,13.6993
10.8402,13.1399,13.6938
11.0407,13.1643,13.6876
11.2412,13.1941,13.6498
11.4417,13.2267,13.595
11.6423,13.2539,13.5244
11.8428,13.2746,13.4383
12.0433,13.3062,13.3403
12.2438,13.3471,13.2371
12.4442,13.3841,13.132
12.6447,13.4188,13.0233
12.8453,13.4415,12.925
13.0457,13.4748,12.8328
13.2461,13.4928,12.7478
13.4466,13.4894,12.6651
13.647,13.4648,12.5981
13.8474,13.4355,12.5427
14.0479,13.4071,12.5038
14.2483,13.3713,12.4696
14.4488,13.3317,12.4438
14.6493,13.292,12.4099
14.8497,13.2576,12.408
15.0503,13.2223,12.4251
15.2508,13.1945,12.4503
15.4513,13.1758,12.4882
15.6518,13.1747,12.5353
15.8523,13.1738,12.5922
16.0529,13.1792,12.6579
16.2534,13.1858,12.7257
16.4539,13.2031,12.7938
16.6543,13.2305,12.8627
16.8548,13.262,12.9393
17.0552,13.2912,13.017
17.2557,13.3156,13.1
17.4562,13.3336,13.172
17.6566,13.3471,13.2445
17.8571,13.3521,13.3104
18.0575,13.3563,13.372
18.258,13.3573,13.3946
18.4584,13.3606,13.4188
18.6589,13.3622,13.4384
18.8593,13.3736,13.4589
19.0599,13.391,13.4821
19.2604,13.4151,13.4923
19.4608,13.4418,13.4911
19.6613,13.4666,13.4812
19.8617,13.4966,13.4607
20.0622,13.5231,13.4318
20.2626,13.5549,13.4012
20.463,13.5884,13.3651
20.6635,13.615,13.3285
20.864,13.633,13.2881
21.0645,13.6431,13.2468
